,aid,title,year,types,tags_theme,scores_theme,theme_tag,tags_emotion,scores_emotion
0,0s4fa14ciz3ohd0,封神三部曲,2020,['剧情' '动作' '奇幻' '战争' '古装'],"['神话与传说', '信仰与选择', '忠诚与团结', '政治与权力', '勇气与冒险', '文化与传承']","[9.0, 8.5, 8.0, 7.5, 7.0, 6.5]","['神话', '传说', '信仰', '选择', '忠诚', '团结', '政治', '权力', '勇气', '冒险', '文化', '传承']","['荣耀', '勇气', '鼓舞', '回忆', '平静', '悲剧', '和谐', '黑暗']","[3.6, 3.2, 2.8, 2.7, 2.4, 2.4, 2.1, 2.1]"
1,mzc00200887tz3a,长安三万里,,['历史' '动画'],"['忠诚与承诺', '友谊', '战争与和平', '政治与权力', '历史与文明']","[10.0, 9.0, 8.0, 7.0, 6.0]","['忠诚', '承诺', '友谊', '战争', '和平', '政治', '权力', '历史', '文明']","['勇气', '敬意', '壮志', '回忆', '沉重', '自省', '焦虑', '平静', '失落']","[3.6, 3.2, 2.8, 2.7, 2.7, 2.4, 2.4, 2.1, 2.1]"
2,mzc00200757bjtn,碟中谍7：致命清算（上）,,['动作'],"['政治与权力', '忠诚与承诺', '团结与支持', '勇气与冒险', '牺牲和奉献', '真相与谎言']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]","['政治', '权力', '忠诚', '承诺', '团结', '支持', '勇气', '冒险', '牺牲和奉献', '真相', '谎言']","['壮志', '勇气', '紧张', '振奋', '恐惧', '焦虑']","[4.5, 4.5, 4.5, 4.0, 4.0, 4.0]"
3,b5n4tigatms1fde,变形金刚：超能勇士崛起,2023,['冒险' '科幻' '动作'],"['科技与未来', '探索与冒险', '勇气与冒险', '忠诚与团结', '信任']","[10.0, 9.0, 9.0, 8.0, 7.0]","['科技', '未来', '探索', '冒险', '勇气', '忠诚', '团结', '信任']","['壮志', '勇气', '兴奋', '探索', '冲突', '好奇', '危险']","[4.5, 4.0, 4.0, 1.6, 1.6, 1.4, 1.4]"
4,mzc002005pojw87,消失的她,,['悬疑' '犯罪'],['真相与谎言'],[10.0],"['真相', '谎言']","['平静', '无助', '焦虑', '失落']","[6.3, 6.3, 5.6, 4.9]"
5,0z94k627g0b08eu,速度与激情10,2023,['动作' '惊悚' '悬疑' '冒险' '犯罪'],"['家庭与团圆', '友谊', '忠诚与承诺', '勇气与冒险', '犯罪与黑帮', '汽车文化']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]","['家庭', '团圆', '友谊', '忠诚', '承诺', '勇气', '冒险', '犯罪', '黑帮', '汽车文化']","['兴奋', '紧张', '勇气', '焦虑', '振奋', '危险']","[2.97, 2.97, 2.64, 2.64, 2.31, 2.31]"
6,mzc002009jjvlgx,哆啦A梦：大雄的新恐龙,2020,['奇幻' '冒险' '剧情' '动画'],"['友谊', '儿童与成长', '探索与冒险', '忠诚与承诺']","[10.0, 9.5, 9.0, 8.5]","['友谊', '儿童', '成长', '探索', '冒险', '忠诚', '承诺']","['欢乐', '喜悦', '勇气']","[4.5, 4.5, 4.0]"
7,mzc00200600il63,我的爸爸是森林之王2,2020,['冒险' '动画' '家庭'],"['亲情与成长', '环境与自然', '儿童与成长']","[10.0, 9.0, 8.0]","['亲情', '成长', '环境', '自然', '儿童']","['勇气', '希望', '友爱']","[4.5, 4.0, 3.5]"
8,mzc002008bgrc0n,芭比公主历险记,2020,['歌舞' '动画'],"['友谊', '成长与挑战', '儿童与成长', '自信', '勇气与冒险']","[10.0, 9.0, 9.0, 8.0, 8.0]","['友谊', '成长', '挑战', '儿童', '自信', '勇气', '冒险']","['欢乐', '友爱', '勇气']","[4.5, 4.0, 3.5]"
9,mzc00200vhbfw60,暗杀风暴,2021,['悬疑' '犯罪'],"['犯罪与黑帮', '政治与权力', '困境与挑战', '忠诚与承诺']","[10.0, 9.0, 8.0, 7.0]","['犯罪', '黑帮', '政治', '权力', '困境', '挑战', '忠诚', '承诺']","['好奇', '紧张', '平静', '沉重', '恐惧', '勇气', '敬意', '希望']","[3.6, 3.6, 3.2, 3.2, 2.8, 2.7, 2.4, 2.1]"
