,aid,themes,scores,title,types,year,directors,thems_map
0,0s4fa14ciz3ohd0,"['神话与传说', '信仰与选择', '忠诚与团结', '政治与权力', '勇气与冒险', '文化与传承']","[9.0, 8.5, 8.0, 7.5, 7.0, 6.5]",封神三部曲,['剧情' '动作' '奇幻' '战争' '古装'],2020,['乌尔善'],"['神话与传说', '真爱与选择', '忠诚与信任', '政治与权力', '勇气与决定', '文化与传承']"
1,mzc00200887tz3a,"['忠诚和承诺', '友情', '战争与和平', '政治与权力', '历史和文明']","[10.0, 9.0, 8.0, 7.0, 6.0]",长安三万里,['历史' '动画'],,['谢君伟' '邹靖'],"['忠诚和承诺', '友情', '战争与和平', '政治与权力', '历史和文明']"
2,mzc00200757bjtn,"['政治与权力', '忠诚和承诺', '团结和支持', '勇气和冒险', '牺牲和奉献', '真相与谎言']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",碟中谍7：致命清算（上）,['动作'],,['克里斯托夫·迈考利'],"['政治与权力', '忠诚和承诺', '团结和支持', '勇气和冒险', '牺牲和奉献', '真相与谎言']"
3,b5n4tigatms1fde,"['科技与未来', '探索与冒险', '勇气和冒险', '忠诚和团结', '信任和诚实']","[10.0, 9.0, 9.0, 8.0, 7.0]",变形金刚：超能勇士崛起,['冒险' '科幻' '动作'],2023,['小斯蒂芬·卡普尔'],"['科技与未来', '挑战与冒险', '勇气和冒险', '忠诚和承诺', '信任和诚实']"
4,mzc002005pojw87,['真相与谎言'],[10.0],消失的她,['悬疑' '犯罪'],,['崔睿' '刘翔'],['真相与谎言']
5,0z94k627g0b08eu,"['家庭与团圆', '友情', '忠诚和承诺', '勇气和冒险', '犯罪与黑帮', '汽车文化']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",速度与激情10,['动作' '惊悚' '悬疑' '冒险' '犯罪'],2023,['路易斯·莱特里尔'],"['家庭与团圆', '友情', '忠诚和承诺', '勇气和冒险', '犯罪与惩罚', '汽车文化']"
6,mzc002009jjvlgx,"['友情', '儿童与成长', '探索与冒险', '忠诚和承诺']","[10.0, 9.5, 9.0, 8.5]",哆啦A梦：大雄的新恐龙,['奇幻' '冒险' '剧情' '动画'],2020,['今井一晓'],"['友情', '亲情与成长', '挑战与冒险', '忠诚和承诺']"
7,mzc00200600il63,"['亲情与成长', '环境与自然', '儿童与成长', '家庭']","[10.0, 9.0, 8.0, 7.0]",我的爸爸是森林之王2,['冒险' '动画' '家庭'],2020,['杰里米·德格鲁森' '本·斯塔森'],"['亲情与成长', '环境与自然', '亲情与成长', '家庭与团圆']"
8,mzc002008bgrc0n,"['友情', '成长', '儿童与成长', '勇气和冒险', '自信']","[10.0, 9.0, 9.0, 8.0, 8.0]",芭比公主历险记,['歌舞' '动画'],2020,['康拉德·海伦'],"['友情', '成长与自我发现', '亲情与成长', '勇气和冒险', '自信']"
9,mzc00200vhbfw60,"['犯罪与黑帮', '政治与权力', '困境与挑战', '忠诚和承诺']","[10.0, 9.0, 8.0, 7.0]",暗杀风暴,['悬疑' '犯罪'],2021,['邱礼涛'],"['犯罪与惩罚', '政治与权力', '生存与挑战', '忠诚和承诺']"
10,mzc00200ksua6tm,"['儿童与成长', '友情', '团队合作', '勇气与冒险', '教育', '自信']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",汪汪队立大功大电影,['冒险' '喜剧' '动画'],2021,['卡尔·布伦克尔'],"['亲情与成长', '友情', '团结与合作', '勇气与决定', '教育', '自信']"
11,piegqd6mz97tr8b,"['复仇与救赎', '父子关系', '信任与背叛', '职业道德', '自我发现', '暗杀与黑暗世界']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",机械师,['剧情' '动作' '悬疑' '惊悚' '犯罪'],2011,['西蒙.韦斯特'],"['复仇与正义', '父子关系', '信任与背叛', '职业道德', '成长与自我发现', '暗杀与黑暗世界']"
