,aid,title,year,types,themes_cleaned,scores_cleaned,emotion_tags_cut,emotion_scores_cut,emo_size,theme_size
0,0s4fa14ciz3ohd0,封神三部曲,2020,['剧情' '动作' '奇幻' '战争' '古装'],"['神话与传说', '信仰与选择', '忠诚与团结']","[9.0, 8.5, 8.0]","['荣耀', '鼓舞', '和谐', '黑暗']","[3.6, 3.2, 2.8, 2.1]",4,3
1,mzc00200887tz3a,长安三万里,,['历史' '动画'],"['忠诚与承诺', '友谊', '战争与和平']","[10.0, 9.0, 8.0]","['敬意', '壮志', '沉重', '焦虑', '失落']","[3.6, 3.2, 2.8, 2.7, 2.4]",5,3
2,mzc00200757bjtn,碟中谍7：致命清算（上）,,['动作'],"['政治与权力', '忠诚与承诺', '团结与支持']","[10.0, 9.0, 8.0]","['壮志', '紧张', '振奋', '焦虑']","[4.5, 4.5, 4.5, 4.0]",4,3
3,b5n4tigatms1fde,变形金刚：超能勇士崛起,2023,['冒险' '科幻' '动作'],"['科技与未来', '探索与冒险', '勇气与冒险']","[10.0, 9.0, 9.0]","['壮志', '兴奋']","[4.5, 4.0]",2,3
4,mzc002005pojw87,消失的她,,['悬疑' '犯罪'],['真相与谎言'],[10.0],"['无助', '焦虑', '失落']","[6.3, 5.6, 4.9]",3,1
5,0z94k627g0b08eu,速度与激情10,2023,['动作' '惊悚' '悬疑' '冒险' '犯罪'],"['家庭与团圆', '友谊', '忠诚与承诺']","[10.0, 9.0, 8.0]","['兴奋', '紧张', '焦虑', '振奋']","[2.97, 2.97, 2.64, 2.64]",4,3
6,mzc002009jjvlgx,哆啦A梦：大雄的新恐龙,2020,['奇幻' '冒险' '剧情' '动画'],"['友谊', '儿童与成长', '探索与冒险']","[10.0, 9.5, 9.0]","['欢乐', '喜悦']","[4.5, 4.5]",2,3
7,mzc00200600il63,我的爸爸是森林之王2,2020,['冒险' '动画' '家庭'],"['亲情与成长', '环境与自然', '儿童与成长']","[10.0, 9.0, 8.0]",['友爱'],[4.5],1,3
8,mzc002008bgrc0n,芭比公主历险记,2020,['歌舞' '动画'],"['友谊', '成长与挑战', '儿童与成长']","[10.0, 9.0, 9.0]","['欢乐', '友爱']","[4.5, 4.0]",2,3
9,mzc00200vhbfw60,暗杀风暴,2021,['悬疑' '犯罪'],"['犯罪与黑帮', '政治与权力', '困境与挑战']","[10.0, 9.0, 8.0]","['好奇', '紧张', '沉重', '敬意']","[3.6, 3.6, 3.2, 2.7]",4,3
10,mzc00200ksua6tm,汪汪队立大功大电影,2021,['冒险' '喜剧' '动画'],"['儿童与成长', '友谊', '团队合作']","[10.0, 9.0, 8.0]",['友爱'],[5.4],1,3
11,piegqd6mz97tr8b,机械师,2011,['剧情' '动作' '悬疑' '惊悚' '犯罪'],"['复仇与救赎', '父子/父女', '信任与背叛']","[10.0, 9.0, 8.0]",['愤怒'],[4.0],1,3
12,mzc00200hblk6rw,铃芽之旅,,['动画'],"['青春与成长', '探索与冒险', '神秘与超自然']","[9.0, 8.0, 8.0]","['好奇', '焦虑']","[3.6, 3.2]",2,3
13,mzc00200o4emst0,熊出没·狂野大陆,2021,['喜剧' '动画' '科幻'],"['环境与自然', '友谊', '成长与挑战']","[10.0, 9.0, 8.0]","['欢乐', '喜悦', '友爱']","[7.0, 6.3, 5.6]",3,3
14,m01ss5q8ff48zr1,山炮进城,2015,['剧情' '喜剧' '搞笑'],"['成长与自我发现', '真诚与友谊']","[9.0, 8.0]",['鼓舞'],[9.0],1,2
15,mzc002002cki9m7,萌鸡小队：萌闯新世界,2022,['冒险' '动画' '儿童' '家庭'],"['环境与自然', '勇敢面对困境', '成长与自我发现']","[10.0, 9.0, 8.0]",['鼓舞'],[3.6],1,3
16,mzc00200975hawm,银行家,2020,['传记' '剧情'],"['信任与背叛', '勇敢面对困境']","[9.0, 8.0]","['遗憾', '压抑', '无助', '鼓舞']","[5.0, 4.5, 4.0, 3.6]",4,2
17,mzc00200sw6i0jc,长津湖之水门桥,2022,['战争' '剧情' '历史'],"['勇气与冒险', '团结与支持', '政治与权力']","[9.0, 9.0, 8.0]","['壮志', '荣耀', '淡然', '沉重', '哀思']","[3.6, 3.2, 2.8, 2.7, 2.4]",5,3
18,mzc00200mbkh5o2,嫌疑人之长夜将尽,2021,['剧情' '犯罪'],"['犯罪与黑帮', '心理与健康', '信任']","[10.0, 9.0, 8.0]","['愤怒', '淡然']","[3.6, 3.2]",2,3
19,fhe2h7sop52qzza,疯狂动物城,2016,['搞笑' '喜剧' '冒险' '励志' '动画'],"['社会平等', '友谊', '勇敢面对困境']","[10.0, 9.0, 8.0]","['喜悦', '友爱']","[4.0, 3.5]",2,3
20,mzc002002s82ed8,念念相忘,,['爱情'],"['成长与自我发现', '真诚与友谊', '青春与成长']","[10.0, 9.0, 8.0]","['浪漫', '遗憾']","[3.6, 2.1]",2,3
21,mzc00200jd5hfur,血战狙击岭,2021,['战争' '剧情' '动作'],"['勇气与冒险', '忠诚与团结', '生死与和平']","[10.0, 9.0, 8.0]","['荣耀', '壮志']","[4.5, 4.0]",2,3
22,mzc00200mvqnoil,我经过风暴,2022,['剧情' '家庭'],"['女性力量与平等', '家庭矛盾', '法律与正义']","[10.0, 9.0, 8.0]","['压抑', '无助', '绝望', '抑郁']","[6.0, 5.4, 4.8, 4.2]",4,3
23,mzc00200qpkjqvp,我们的冬奥,2022,['剧情' '动画'],"['团结与支持', '勇敢面对困境', '文化与传承']","[10.0, 9.0, 8.0]","['欢乐', '友爱']","[4.5, 4.0]",2,3
24,mzc002008v8rka3,流浪地球2,2023,['灾难' '冒险' '科幻'],"['灾难与生存', '环境与自然', '勇气与冒险']","[10.0, 10.0, 9.0]","['壮志', '焦虑']","[3.6, 3.2]",2,3
25,mzc00200qckqxs3,老鹰抓小鸡,2021,['动画'],"['成长与自我发现', '勇敢面对困境', '真诚与友谊']","[10.0, 9.0, 8.0]",['好奇'],[2.97],1,3
26,bv8m91i5jj1w1ww,冰雪奇缘,2013,['奇幻' '歌舞' '喜剧' '音乐' '动画'],"['家庭与团圆', '姐妹情谊', '勇气与冒险']","[10.0, 9.0, 8.0]","['欢乐', '喜悦', '幸福']","[5.4, 4.8, 4.2]",3,3
27,mzc00200ks08iqq,木兰：横空出世,2020,['喜剧' '动画' '动作'],"['女性力量与平等', '勇气与冒险', '成长与自我发现']","[10.0, 9.0, 9.0]",['荣耀'],[5.4],1,3
28,u5swzrxeapydgrp,碟中谍6：全面瓦解,2018,['悬疑' '惊悚' '冒险' '动作'],"['复仇与救赎', '信任与背叛', '勇气与冒险']","[10.0, 9.0, 8.0]","['冷酷', '黑暗']","[3.6, 3.0]",2,3
29,om43f374meb25iu,熊出没之夺宝熊兵,2014,['搞笑' '剧情' '喜剧' '亲情' '家庭' '冒险' '动画'],"['环保意识', '友谊', '团结与支持']","[9.0, 9.0, 8.0]","['温馨', '欢乐']","[4.5, 4.0]",2,3
30,mzc002008li7sth,异兽,2022,['惊悚' '剧情' '恐怖'],"['生存与挑战', '困境与挑战', '灾难与生存']","[10.0, 9.0, 8.0]","['紧张', '绝望']","[4.0, 4.0]",2,3
31,76n6vdky9nfocyg,阿凡达：水之道,2022,['冒险' '科幻' '动作'],"['环境与自然', '人与自然', '科技与未来']","[10.0, 9.0, 8.0]",['鼓舞'],[5.4],1,3
32,gib06eaidoc457v,僵尸先生5驱魔警察,1990,['奇幻' '恐怖' '动作'],['灵异现象'],[9.0],['轻松'],[2.64],1,1
33,mzc0020035l5vcf,狙击手,2022,['战争' '剧情' '历史'],"['战争与和平', '忠诚与承诺', '团结与支持']","[10.0, 9.0, 9.0]","['壮志', '沉重']","[3.3, 2.64]",2,3
34,mzc00200zq928z1,我是监护人,2020,['剧情' '家庭'],"['亲情与成长', '自我与成长', '信念与坚持']","[9.5, 9.0, 8.5]","['温馨', '失落', '遗憾', '无助']","[3.6, 3.2, 3.0, 2.7]",4,3
35,mzc00200nx1hbcr,长津湖,2021,['战争' '剧情' '历史'],"['战争与和平', '忠诚与团结', '历史与文明']","[10.0, 9.0, 8.0]","['壮志', '沉重']","[5.0, 4.5]",2,3
36,mzc00200bd3gkta,满江红,,['悬疑' '剧情' '喜剧' '古装'],"['政治与权力', '真相与谎言', '忠诚与承诺']","[9.0, 8.0, 8.0]","['好奇', '紧张']","[3.0, 3.0]",2,3
