,baseCid,cid,algo_type,pay_amt,sd_income,pay_amount,buy_times,duration_type,ip,ip_of_baseCid
0,PejtkSzsEW1618974022208,rDQKmlsNeW1676876134133,replace,89.00,89.0000,89.0,23.0,季卡,,神兽金刚
1,MYqzwTgTUJ1670464318083,hxhmkSpAXi1670463115746,replace,28.00,28.0000,28.0,4.0,月卡,,
2,KGGJWPMdPi1642562281891,COPAnoLLWG1605582357423,replace,19.00,9.5000,19.0,1.0,月卡,迷你特工队,汪汪队
3,jAGHvKfxCC1601282023158,DZnXRryQAT1601214717245,replace,1.00,1.0000,1.0,1.0,周卡,小猪佩奇,小猪佩奇
4,EcjztyVhJg1689303456414,jAGHvKfxCC1601282023158,replace,1.00,0.5000,1.0,1.0,周卡,小猪佩奇,
5,VnukKzayCX1672030917761,LMzSbMeMPU1618908954685,replace,49.00,49.0000,49.0,4.0,季卡,巴啦啦小魔仙,
6,dcFXccjtWN1670988679451,dNUkdLPkci1585650051748,replace,209.00,218.5000,209.0,3.0,年卡,超级宝贝JoJo,
7,azChgBGkCF1642997908606,NlmvgmGVGB1682006001616,replace,28.00,28.0000,28.0,5.0,月卡,,
8,urJvFAsWrR1655283579583,FtIdDbRumK1635473378271,replace,1.00,1.0000,1.0,1.0,周卡,咖宝车神,
9,JuSzOrwyfr1687311770348,KcLUnaQzax1682498008320,replace,28.00,14.0000,28.0,3.0,月卡,,
10,YLdPMFfCYq1641886501615,VnukKzayCX1672030917761,replace,22.00,11.0000,22.0,2.0,月卡,,
11,ThrixGblgw1601026032178,BInVDcgprf1629197625980,replace,19.00,19.0000,19.0,1.0,月卡,贝乐虎,
12,dcFXccjtWN1670988679451,dNUkdLPkci1585650051748,replace,19.00,218.5000,19.0,1.0,月卡,超级宝贝JoJo,
13,ysyPdbRHxJ1655720597049,VbRPQQecDD1660030353934,trex,19.00,19.0000,19.0,3.0,月卡,,
14,IsBakObEkQ1669646104647,GmTyPWFMVF1682234656368,trex,1.00,1.0000,1.0,5.0,周卡,,
15,TxwHaxEqjm1678941730402,cJkHbeOZrt1614159028262,trex,19.00,19.0000,19.0,1.0,月卡,汽车世界,
16,wdIZnLoVAZ1637670631371,TxwHaxEqjm1678941730402,trex,1.00,0.5000,1.0,1.0,周卡,,汽车世界
17,tFcQJWZtHz1604545090958,thbrJDWJEX1628058824772,trex,1.00,1.0000,1.0,1.0,周卡,工程车探险小队,
18,ysyPdbRHxJ1655720597049,IsBakObEkQ1669646104647,trex,59.00,59.0000,59.0,3.0,季卡,,
19,IsBakObEkQ1669646104647,TxwHaxEqjm1678941730402,trex,1.00,0.5000,1.0,1.0,周卡,,
20,PUEqZzWwfh1641870919728,gCdvJJzceL1666183275623,trex,19.00,19.0000,19.0,1.0,月卡,,咚咚玩具屋
21,acZMEasvmY1632971111574,VbHulUqOGv1604975827938,,1.00,,1.0,1.0,周卡,奥特曼,奥特曼
22,oJUjtjwmNy1655808991449,dNUkdLPkci1585650051748,,55.00,,55.0,2.0,季卡,超级宝贝JoJo,
23,ysyPdbRHxJ1655720597049,QtVxlMBLWz1688620704695,,22.00,,22.0,5.0,月卡,,
24,nmyUqVpBlr1614164299502,tftfYiDenv1658217865573,,19.00,,19.0,1.0,月卡,,汪汪队
25,dNUkdLPkci1585650051748,dNUkdLPkci1585650051748,,6.60,,6.6,1.0,月卡,超级宝贝JoJo,超级宝贝JoJo
26,dcFXccjtWN1670988679451,dNUkdLPkci1585650051748,,6.60,,6.6,1.0,月卡,超级宝贝JoJo,
27,dcFXccjtWN1670988679451,dNUkdLPkci1585650051748,,22.00,,22.0,2.0,月卡,超级宝贝JoJo,
28,TWLFYaSwzS1615262192462,tftfYiDenv1658217865573,,9.90,,9.9,1.0,月卡,,超级宝贝JoJo
29,tftfYiDenv1658217865573,dNUkdLPkci1585650051748,,28.00,22.0000,28.0,1.0,月卡,超级宝贝JoJo,
30,acZMEasvmY1632971111574,VnukKzayCX1672030917761,,1.00,,1.0,1.0,周卡,,奥特曼
31,dcFXccjtWN1670988679451,dNUkdLPkci1585650051748,,1.00,22.0000,1.0,4.0,周卡,超级宝贝JoJo,
32,BsAviIewOC1684808496474,ajUGjnALjn1690773454389,,19.00,,19.0,1.0,月卡,,
33,TWLFYaSwzS1615262192462,dNUkdLPkci1585650051748,,55.00,,55.0,4.0,季卡,超级宝贝JoJo,超级宝贝JoJo
34,KGGJWPMdPi1642562281891,dNUkdLPkci1585650051748,,28.00,22.0000,28.0,1.0,月卡,超级宝贝JoJo,汪汪队
35,EmGUinUUID1601006304441,VnukKzayCX1672030917761,,1.00,,1.0,1.0,周卡,,小猪佩奇
36,AKVzBJYbhO1687937013336,dNUkdLPkci1585650051748,,55.00,,55.0,4.0,季卡,超级宝贝JoJo,
37,dcFXccjtWN1670988679451,tftfYiDenv1658217865573,,1.00,,1.0,1.0,周卡,,
